"date,description,amount,type"
"2026-09-01,SALARY CREDIT ABC TECHNOLOGIES,45000,income"
"2026-09-01,UPI/PAY*SWIGGY,438,expense"
"2026-09-02,UPI/PAY*ZOMATO,520,expense"
"2026-09-02,UBER TRIP,240,expense"
"2026-09-03,RENT PAYMENT,12000,expense"
"2026-09-04,AMAZON PAY SHOPPING,1899,expense"
"2026-09-05,UPI/PAY*BIGBASKET,2100,expense"
"2026-09-06,NETFLIX SUBSCRIPTION,649,expense"
"2026-09-07,SPOTIFY SUBSCRIPTION,119,expense"
"2026-09-08,UBER TRIP,180,expense"
"2026-09-10,UPI/PAY*SWIGGY,610,expense"
"2026-09-12,MYNTRA SHOPPING,2499,expense"
"2026-09-15,ELECTRICITY BILL,1450,expense"
"2026-09-17,UPI/PAY*ZOMATO,480,expense"
"2026-09-18,PHARMACY PURCHASE,850,expense"
"2026-09-20,INTEREST CREDIT,320,income"
"2026-09-21,UPI/PAY*BIGBASKET,1750,expense"
"2026-09-23,UBER TRIP,260,expense"
"2026-09-25,RESTAURANT PAYMENT,1250,expense"
"2026-09-28,UPI/PAY*SWIGGY,540,expense"
"2026-09-30,MOBILE BILL,699,expense"
