"date,description,amount,type"
"2026-09-01,PARENT TRANSFER,15000,income"
"2026-09-01,COLLEGE CANTEEN,180,expense"
"2026-09-02,BUS PASS,850,expense"
"2026-09-03,UPI/PAY*SWIGGY,290,expense"
"2026-09-04,AMAZON PAY BOOKS,780,expense"
"2026-09-05,UPI/PAY*ZOMATO,340,expense"
"2026-09-06,SPOTIFY SUBSCRIPTION,119,expense"
"2026-09-07,UBER TRIP,210,expense"
"2026-09-08,STATIONERY SHOP,450,expense"
"2026-09-10,PARENT TRANSFER,5000,income"
"2026-09-11,UPI/PAY*SWIGGY,320,expense"
"2026-09-12,NETFLIX SUBSCRIPTION,649,expense"
"2026-09-13,COLLEGE PROJECT MATERIAL,1250,expense"
"2026-09-15,UBER TRIP,190,expense"
"2026-09-16,UPI/PAY*ZOMATO,410,expense"
"2026-09-18,FREELANCE PAYMENT,3500,income"
"2026-09-19,ONLINE COURSE,999,expense"
"2026-09-20,UPI/PAY*SWIGGY,360,expense"
"2026-09-22,FRIENDS DINNER,850,expense"
"2026-09-24,AMAZON PAY SHOPPING,1200,expense"
"2026-09-26,UBER TRIP,240,expense"
"2026-09-28,UPI/PAY*SWIGGY,390,expense"
"2026-09-30,INTEREST CREDIT,75,income"
